date,return
2024-09-04,-0.00124774
2024-09-05,-0.00635935
2024-09-06,-0.01950327
2024-09-09,0.01294219
2024-09-10,0.00413669
2024-09-11,0.0164857
2024-09-12,0.00772699
2024-09-13,0.00622305
2024-09-16,0.00211592
2024-09-17,0.00107782
2024-09-18,-0.0046953
2024-09-19,0.01940852
2024-09-20,0.00524139
2024-09-23,0.00916989
2024-09-24,0.00671497
2024-09-25,-0.00173021
2024-09-26,0.00353808
2024-09-27,0.00084104
2024-09-30,4.217e-05
2024-10-01,-0.00025035
2024-10-02,0.00595026
2024-10-03,0.00293799
2024-10-04,0.00972976
2024-10-07,-0.0069172
2024-10-08,0.00253916
2024-10-09,0.00294239
2024-10-10,-0.00034814
2024-10-11,0.00880788
2024-10-14,0.00941867
2024-10-15,-0.01713463
2024-10-16,0.01514571
2024-10-17,0.00207686
2024-10-18,0.00478844
2024-10-21,-0.00101191
2024-10-22,-0.00497906
2024-10-23,-0.00853558
2024-10-24,-0.00057333
2024-10-25,-0.00069667
2024-10-28,0.00271913
2024-10-29,-0.00155051
2024-10-30,-0.00776003
2024-10-31,-0.0131852
2024-11-01,-0.00093064
2024-11-04,-0.00512167
2024-11-05,0.01193433
2024-11-06,0.02219517
2024-11-07,0.01108183
2024-11-08,0.00327847
2024-11-11,-0.00234904
2024-11-12,-0.00721547
2024-11-13,-0.0029123
2024-11-14,-0.00390565
2024-11-15,-0.01092401
2024-11-18,0.01155141
2024-11-19,0.00410487
2024-11-20,-0.00012211
2024-11-21,0.01470274
2024-11-22,0.00179072
2024-11-25,-0.00466188
2024-11-26,0.0020511
2024-11-27,-0.00463825
2024-11-29,0.00814799
2024-12-02,-0.00320541
2024-12-03,-0.00236241
2024-12-04,0.00148111
2024-12-05,-0.00376865
2024-12-06,-0.0041816
2024-12-09,-0.01092812
2024-12-10,-0.00910036
2024-12-11,0.00617421
2024-12-12,-0.00824644
2024-12-13,0.00183339
2024-12-16,-0.00256832
2024-12-17,-0.00736601
2024-12-18,-0.02885367
2024-12-19,-0.00196113
2024-12-20,0.01138607
2024-12-23,0.01038267
2024-12-24,0.00761003
2024-12-26,-0.00012683
2024-12-27,-0.00725054
2024-12-30,-0.00945574
2024-12-31,-0.00210213
2025-01-02,0.00854923
2025-01-03,0.01730695
2025-01-06,0.00799036
2025-01-07,-0.0096503
2025-01-08,-0.00328389
2025-01-10,-0.00986298
2025-01-13,-0.00054491
2025-01-14,0.00663509
2025-01-15,0.01628665
2025-01-16,0.00604946
2025-01-17,0.01042151
2025-01-21,0.01619825
2025-01-22,0.003624
2025-01-23,0.00788623
2025-01-24,-0.00611706
2025-01-27,-0.04171831
2025-01-28,0.00452605
2025-01-29,0.00069892
2025-01-30,0.01398589
2025-01-31,-0.01047922
2025-02-03,-0.00513477
2025-02-04,0.00811112
2025-02-05,0.00955937
2025-02-06,-0.00425789
2025-02-07,-0.00157233
2025-02-10,0.01200539
2025-02-11,-0.00067645
2025-02-12,-0.00447974
2025-02-13,0.00617132
2025-02-14,-0.00384357
2025-02-18,0.00830705
2025-02-19,0.00097101
2025-02-20,-0.00160516
2025-02-21,-0.02133818
2025-02-24,-0.01015795
2025-02-25,-0.0085939
2025-02-26,0.006634
2025-02-27,-0.02336536
2025-02-28,0.01389446
2025-03-03,-0.02473934
2025-03-04,-0.00392127
2025-03-05,0.0073284
2025-03-06,-0.02001332
2025-03-07,0.01242476
2025-03-10,-0.02006994
2025-03-11,-0.00310979
2025-03-12,0.00758018
2025-03-13,-0.00802116
2025-03-14,0.02410478
2025-03-17,0.01137346
2025-03-18,-0.00854894
2025-03-19,0.01205925
2025-03-20,-0.0004519
2025-03-21,-0.0051922
2025-03-24,0.01612034
2025-03-25,-0.00428653
