ret,vol,sharpe,feasible
0.180987,0.179025,0.808863,True
0.14933,0.160036,0.707032,False
0.202003,0.189363,0.875689,False
0.195886,0.20173,0.791685,False
0.158255,0.171094,0.713495,False
0.168991,0.164554,0.807095,False
0.167432,0.160907,0.815703,False
0.162535,0.160533,0.787097,False
0.179812,0.170666,0.841597,False
0.186966,0.181566,0.830475,True
0.182527,0.177959,0.822365,True
0.168458,0.170404,0.776261,True
0.166331,0.165698,0.785471,False
0.167112,0.169264,0.773538,False
0.196426,0.176782,0.90646,False
0.191192,0.183637,0.844124,False
0.177008,0.167412,0.841209,False
0.169222,0.166009,0.801414,False
0.162203,0.172986,0.728516,False
0.155936,0.158965,0.753345,False
0.164753,0.166543,0.772008,True
0.151598,0.158408,0.728612,False
0.168606,0.171266,0.773217,False
0.141869,0.165602,0.63821,True
0.165617,0.165148,0.783764,True
0.153046,0.181617,0.643477,True
0.170159,0.171894,0.779427,False
0.18732,0.18179,0.8314,False
0.142943,0.166673,0.640554,False
0.174698,0.171064,0.809746,False
0.189306,0.185953,0.823467,False
0.21472,0.20021,0.891765,False
0.17739,0.176324,0.800856,True
0.165752,0.170512,0.759901,True
0.165143,0.175851,0.733364,False
0.140594,0.152686,0.68385,True
0.177898,0.181103,0.782525,False
0.168105,0.167537,0.787436,False
0.159473,0.17339,0.711073,False
0.158089,0.16766,0.727121,False
0.169053,0.164681,0.806854,True
0.16695,0.163422,0.800199,True
0.186902,0.188647,0.798965,True
0.193765,0.192871,0.817045,False
0.173089,0.180013,0.760548,True
0.171875,0.163923,0.827794,False
0.191929,0.189835,0.820441,False
0.170748,0.177083,0.759916,False
0.162306,0.179397,0.703054,True
0.208022,0.191684,0.896486,False
0.174472,0.172752,0.800525,False
0.196055,0.194908,0.82026,False
0.199353,0.175048,0.932162,False
0.18714,0.174627,0.86447,False
0.158655,0.163536,0.748916,False
0.1766,0.175321,0.800934,False
0.160197,0.170421,0.72771,False
0.162175,0.164176,0.767434,False
0.190177,0.182564,0.843522,True
0.157447,0.171859,0.705619,False
0.185258,0.186392,0.799808,False
0.20502,0.199741,0.845294,False
0.20963,0.192168,0.902597,False
0.177326,0.16998,0.830367,False
0.172833,0.177973,0.767829,False
0.195396,0.189335,0.840925,False
0.2125,0.196209,0.898631,False
0.224674,0.203062,0.92826,False
0.167519,0.170572,0.769992,True
0.158711,0.172191,0.711597,False
0.188345,0.185859,0.818715,False
0.139036,0.173463,0.592959,True
0.156566,0.167379,0.719243,False
0.161897,0.170901,0.735615,True
0.173753,0.167109,0.823251,True
0.172455,0.175692,0.775648,False
0.154054,0.159344,0.739747,True
0.168199,0.171128,0.771459,True
0.152573,0.165635,0.702708,True
0.161856,0.16477,0.762737,False
0.138408,0.158903,0.643334,True
0.163538,0.166931,0.76294,False
0.149358,0.158891,0.7123,True
0.178725,0.177088,0.804938,False
0.190287,0.189988,0.811144,False
0.172894,0.184626,0.740489,False
0.184842,0.187522,0.792773,True
0.199308,0.190448,0.856549,False
0.18005,0.175967,0.817597,True
0.158552,0.16706,0.732502,True
0.153774,0.158498,0.741928,False
0.161472,0.16379,0.764953,False
0.177148,0.170293,0.827794,False
0.154037,0.158484,0.743653,False
0.21134,0.204068,0.858344,False
0.192225,0.181515,0.859679,False
0.166157,0.175033,0.742585,False
0.195034,0.184191,0.862444,False
0.188725,0.187096,0.81533,False
0.171363,0.163994,0.824314,False
0.17677,0.174925,0.803716,True
0.166061,0.157729,0.823448,True
0.165761,0.166904,0.776382,False
0.133344,0.16172,0.600813,True
0.162506,0.174869,0.722404,False
0.187304,0.188531,0.801587,False
0.186294,0.189715,0.791261,False
0.151249,0.164369,0.700069,True
0.194181,0.187906,0.840849,False
0.155819,0.167141,0.715797,True
0.208663,0.202926,0.849983,False
0.154491,0.173178,0.683175,False
0.162367,0.175406,0.7194,False
0.186068,0.180647,0.829732,False
0.182362,0.173302,0.843511,True
0.164634,0.185405,0.692825,True
0.172082,0.162044,0.838672,False
0.167811,0.16502,0.797669,False
0.184077,0.172158,0.859077,False
0.154841,0.180232,0.658381,False
0.165665,0.177615,0.729017,False
0.165209,0.176721,0.730128,False
0.165372,0.165275,0.781681,False
0.147956,0.156453,0.714442,True
0.196371,0.198185,0.808293,False
0.167916,0.164208,0.80225,False
0.153548,0.165075,0.710998,True
0.169635,0.179031,0.745433,False
0.19023,0.189278,0.813884,False
0.168748,0.167466,0.791615,False
0.181739,0.187226,0.777452,False
0.166978,0.174103,0.751268,False
0.184969,0.183017,0.812978,False
0.190545,0.1834,0.841685,False
0.181478,0.181542,0.800357,False
0.146596,0.166712,0.662317,True
0.175257,0.173635,0.800976,False
0.1727,0.180511,0.756295,False
0.155368,0.162,0.735731,True
0.171419,0.173224,0.78072,False
0.17581,0.170521,0.818845,False
0.149755,0.163457,0.694827,False
0.17734,0.16869,0.8368,False
0.2057,0.197495,0.85835,False
0.183417,0.182017,0.808919,False
0.159092,0.159759,0.769357,False
0.177905,0.173501,0.816852,True
0.155386,0.178248,0.668763,True
0.187221,0.177854,0.849242,False
0.176489,0.177585,0.790099,False
0.177282,0.180851,0.780209,False
0.159269,0.16412,0.749996,True
0.167308,0.177244,0.739815,False
0.163684,0.169464,0.752398,False
0.154347,0.164896,0.716617,False
0.165941,0.169738,0.764477,False
0.142902,0.148079,0.720712,False
0.16429,0.16524,0.775296,False
0.205808,0.185774,0.913088,False
0.189413,0.177794,0.861857,False
0.218527,0.207487,0.878833,False
0.195419,0.202699,0.785594,False
0.154707,0.158578,0.747439,True
0.173153,0.171828,0.797151,False
0.200101,0.172955,0.94777,False
0.154483,0.158876,0.744621,True
0.18075,0.189495,0.762926,False
0.180211,0.181203,0.794858,False
0.181945,0.168961,0.862714,False
0.186272,0.197289,0.760772,False
0.191983,0.181413,0.858827,True
0.151782,0.169745,0.681032,True
0.192941,0.182034,0.861164,False
0.177252,0.169053,0.834482,False
0.174698,0.171731,0.8066,False
0.151244,0.151506,0.759468,False
0.173373,0.169491,0.809442,False
0.161366,0.169559,0.738303,False
0.181856,0.182881,0.796563,True
0.168915,0.173876,0.763389,False
